Code,Name,Geography,Mid-2024,,,,,,,,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
K02000001,UNITED KINGDOM,Country,"69,281,437",,,,,,,,"65,605,841","65,086,958","64,618,693","64,138,221","63,710,543","63,285,145"
K03000001,GREAT BRITAIN,Country,"67,353,582",,,,,,,,"63,739,799","63,232,015","62,775,507","62,306,544","61,885,940","61,470,827"
K04000001,ENGLAND AND WALES,Country,"61,806,682",,,,,,,,"58,366,199","57,881,415","57,444,107","56,989,744","56,577,740","56,170,927"
E92000001,ENGLAND,Country,"58,620,101",,,,,,,,"55,289,034","54,808,676","54,370,319","53,918,686","53,506,812","53,107,169"
E12000001,NORTH EAST,Region,"2,760,678",,,,,,,,"2,618,253","2,611,804","2,610,482","2,603,299","2,598,972","2,596,441"
E06000047,County Durham,Unitary Authority,"538,011",,,,,,,,"514,431","513,924","513,604","513,179","513,122","512,994"
E06000005,Darlington,Unitary Authority,"112,489",,,,,,,,"106,258","105,988","105,825","105,591","105,557","105,584"
E06000001,Hartlepool,Unitary Authority,"98,180",,,,,,,,"92,260","92,125","92,358","92,465","92,344","92,088"
E06000002,Middlesbrough,Unitary Authority,"156,161",,,,,,,,"140,649","139,602","139,030","138,588","138,472","138,368"
E06000057,Northumberland,Unitary Authority,"331,420",,,,,,,,"314,327","314,188","315,274","315,013","315,924","316,278"
E06000003,Redcar and Cleveland,Unitary Authority,"139,228",,,,,,,,"135,344","135,370","135,106","134,838","134,951","135,164"
E06000004,Stockton-on-Tees,Unitary Authority,"206,800",,,,,,,,"196,412","195,790","195,113","193,923","192,837","191,824"
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,178,389",,,,,,,,"1,118,572","1,114,817","1,114,172","1,109,702","1,105,765","1,104,141"
E08000037,Gateshead,Metropolitan District,"202,760",,,,,,,,"201,359","201,271","200,728","200,299","200,252","200,349"
E08000021,Newcastle upon Tyne,Metropolitan District,"320,605",,,,,,,,"290,316","287,955","286,876","284,371","280,869","279,092"
E08000022,North Tyneside,Metropolitan District,"215,025",,,,,,,,"203,743","202,953","203,211","202,268","201,566","201,206"
E08000023,South Tyneside,Metropolitan District,"151,393",,,,,,,,"147,664","147,230","147,606","147,517","147,761","148,164"
