borough,population_density,average_age,median_house_price,percentage_greenspace,public_transport_accessibility_score,life_satisfaction_score,happiness_score,mean_income,latitude,longitude,Year
City of London,30.303719023917207,43.2,799999,4.8,7.862302333101632,6.59,5.99,157000.0,51.51440005478923,-0.0923727851727351,2014
Barking and Dagenham,57.88220318054674,32.9,243500,33.6,2.970625856764648,7.14,7.05,26700.0,51.5439733098687,0.1332662594140382,2014
Barnet,44.91153568702211,37.3,445000,41.3,2.996700917314377,7.48,7.37,48600.0,51.61606062116871,-0.2099798037359042,2014
Bexley,40.32639587268994,39.0,275000,31.7,2.552133576475213,7.38,7.21,32300.0,51.4608957463956,0.1424415986322456,2014
Brent,76.81696584920323,35.6,407250,21.9,3.653712820244084,7.25,7.22,34100.0,51.55858163287106,-0.2678046068175153,2014
Bromley,21.84035940159733,40.2,374975,57.8,2.779858886632114,7.54,7.44,44000.0,51.37200988935188,0.051586682320743,2014
Camden,111.29318318926794,36.4,700000,24.8,5.690268566447012,7.14,7.11,88000.0,51.54642055108857,-0.1573844413796508,2014
Croydon,44.68020332324763,37.0,300000,37.1,3.2240803618998006,7.1,7.18,33800.0,51.35533905014297,-0.0871211834342928,2014
Ealing,63.300819048865584,36.2,430000,30.9,3.302496438347966,7.29,7.26,37300.0,51.522496795532746,-0.3310149721175295,2014
Enfield,41.19657059952181,36.3,320000,45.6,2.97148779846641,7.26,7.33,34600.0,51.65103056181731,-0.0872290382283008,2014
Greenwich,59.17538915635185,35.0,340000,34.4,3.4434088511348016,7.2,7.2,37500.0,51.47442323124656,0.0556359240657755,2014
Hackney,143.99687123094228,33.1,485000,23.2,4.916681944525086,7.03,6.99,40600.0,51.55229622349864,-0.0632808951209431,2014
Hammersmith and Fulham,113.00535516095093,35.7,730000,19.1,4.669039272607919,7.41,7.16,66600.0,51.49503769776083,-0.2207663642750106,2014
Haringey,93.92403714432142,35.1,432500,25.5,4.308367796684827,7.24,7.19,39900.0,51.59039906291803,-0.1074401663008136,2014
Harrow,49.99728116251466,38.3,396150,34.6,2.8701959962968693,7.33,7.31,38400.0,51.597755894133705,-0.3412456816565335,2014
Havering,22.63469123263793,40.3,287500,59.3,2.504569188048748,7.39,7.21,33900.0,51.56315055154455,0.220501701282007,2014
Hillingdon,26.01530182024053,36.4,350000,49.2,2.3630936504441853,7.37,7.28,34300.0,51.541543007542806,-0.4456509600037819,2014
Hounslow,48.98360624812158,35.8,355000,39.6,3.0305229261894118,7.31,7.4,39900.0,51.46851441733117,-0.366126848413246,2014
Islington,155.62048417894312,34.8,583000,12.4,5.742924101345133,7.17,7.06,59500.0,51.54849166977621,-0.1102027305556357,2014
Kensington and Chelsea,131.14469606721806,39.3,1200000,15.1,5.793069678144829,7.61,7.56,171000.0,51.50123985484996,-0.1921918946686756,2014
Kingston upon Thames,47.07312512090333,37.1,410000,36.4,2.928251306006945,7.34,7.41,44500.0,51.387912795728425,-0.2868831806628104,2014
Lambeth,122.67794503065736,34.5,450000,17.3,5.047105283323006,7.14,7.2,43900.0,51.45383513644726,-0.1182797044900817,2014
Lewisham,86.31752319121972,35.0,352000,22.5,4.08988660804234,7.18,7.26,35900.0,51.44829889698769,-0.0202558808460159,2014
Merton,55.30935524388236,36.7,415000,34.6,3.405588249693073,7.28,7.13,53200.0,51.409958119875455,-0.1972338265643889,2014
Newham,94.72796994562466,32.1,305000,23.9,3.90577618172765,7.12,7.18,28200.0,51.5268707181886,0.0376085887834177,2014
Redbridge,53.91800921239347,35.8,345000,40.6,2.982147488653801,7.32,7.3,35500.0,51.58567862479543,0.0759206548805504,2014
Richmond upon Thames,34.36875972064975,38.8,575000,50.8,3.057463697427554,7.54,7.33,67000.0,51.44276371280896,-0.3123274200084182,2014
Southwark,108.89738778969593,34.4,475000,24.9,4.874749532860033,7.47,7.31,45400.0,51.474245731999055,-0.0740051404963107,2014
Sutton,46.20614586897101,38.9,320000,32.0,2.8540856561323684,7.46,7.26,35500.0,51.362087920615686,-0.177551043474342,2014
Tower Hamlets,153.6806826819463,31.4,415000,15.2,5.022219881375031,7.22,7.2,46600.0,51.515752220586734,-0.0345997352855457,2014
Waltham Forest,71.17096045468813,35.1,366569,31.4,3.588142078533616,7.19,7.12,30300.0,51.59406950439167,-0.0125874922229572,2014
Wandsworth,93.68386860093212,35.0,557000,26.9,4.259022636601998,7.37,7.37,64900.0,51.45199141798116,-0.1861745056709277,2014
Westminster,112.67288376495904,37.7,920000,38.2,6.468799520276011,7.25,7.13,107000.0,51.51346024866107,-0.1604051376571099,2014
